_segment_id,accident_id,action,actor,event_polarity,evidence_text,object,outcome,phase
1,101,encountered,Boeing 767-224 (N76156),NEGATIVE,"encountered severe turbulence that resulted in multiple injuries, while at an altitude of 36,000 feet.",severe turbulence,multiple injuries reported,en route
1,101,diverted,captain,NEUTRAL,"the captain diverted the flight and landed in Miami, Florida.",flight,"landed in Miami, Florida",en route
1,101,cleared,FAA Miami Air Route Traffic Control Center,NEUTRAL,"the airplane had been cleared to climb from 36,000 feet to 38,000 feet","airplane to climb from 36,000 feet to 38,000 feet",climb initiated,en route
1,101,encountered,airplane,NEGATIVE,"upon reaching 36,500 feet, it encountered severe turbulence which lasted about 5 seconds.",severe turbulence,turbulence lasted about 5 seconds,en route
1,101,remained engaged,autopilot,NEUTRAL,the autopilot remained engaged for the whole duration of the occurrence and had not disengaged.,throughout turbulence event,no disengagement occurred,en route
1,101,operated,weather radars,POSITIVE,"Both weather radars had been operating, and were functioning normally",normally,functioning as expected,en route
1,101,was illuminated,seat belt sign,POSITIVE,"the seat belt sign was illuminated before, during, and after the occurrence.","before, during, and after turbulence",passengers warned,en route
1,101,requested,relief first officer,NEUTRAL,"the relief first officer, who was the pilot flying at the time, stated that he has requested the climb",climb,climb authorized and initiated,en route
1,101,entered,relief first officer,NEUTRAL,after entering the desired altitude in the autopilot system the airplane initiated the climb,desired altitude in autopilot system,airplane initiated climb,en route
1,101,looked at,relief first officer,NEUTRAL,he looked at the weather radar display and that there were no indications of precipitation in the area.,weather radar display,no precipitation indications observed,en route
2,101,showed,weather document,NEUTRAL,"According to the operator, the weather document issued for the incident flight showing weather reports and forecasts along and nearby the flight plan showed no predicted turbulence activity at the time of the turbulence event in the turbulence region.",weather reports and forecasts along and nearby the flight plan,no predicted turbulence activity at the time of the turbulence event in the turbulence region,pre-flight
2,101,were found,pilot reports,NEUTRAL,No pilot reports near the location and close to the time of the turbulence encounter were found on record.,near the location and close to the time of the turbulence encounter,none on record,pre-flight
2,101,were present,mbus clouds,NEUTRAL,mbus clouds under the airplane’s flight path.,under the airplane’s flight path,clouds located beneath flight path,en route
1,102,encounter,Pinnacle Airlines flight 2871,NEGATIVE,"encounter severe turbulence during cruise at FL300. Of the 50 passengers and 3 crew members onboard, one flight attendant (FA) received serious injuries and one passenger received minor injuries.",severe turbulence,one flight attendant received serious injuries and one passenger received minor injuries,cruise
1,102,use,flight crew,NEUTRAL,the flight was going in and out of clouds and was using the weather radar and visual observations to detect cloud formations and precipitation.,weather radar and visual observations,detect cloud formations and precipitation,cruise
1,102,last,turbulence,NEUTRAL,The turbulence lasted about 10 seconds after entering a cloud formation.,about 10 seconds,occurred after entering a cloud formation,cruise
1,102,show,weather radar,NEUTRAL,There was no radar indications of thunderstorms or precipitation when the turbulence was encountered.,no indications of thunderstorms or precipitation,no radar indications when turbulence was encountered,cruise
1,102,be reported,PIREPS,NEUTRAL,No PIREPS had been reported for the area.,for the area,none had been reported,pre-flight or en route
1,102,be unable,flight attendant,NEGATIVE,The FA was unable to continue her duties and directed a passenger on how to use the intercom to communicate with the flight crew.,to continue her duties,directed a passenger on how to use the intercom to communicate with the flight crew,post-turbulence
1,102,declare,captain,NEUTRAL,"The captain declared a medical emergency and the flight diverted into Louisville International Airport (SDF), Louisville, Kentucky.",a medical emergency,flight diverted into Louisville International Airport,post-turbulence
1,102,meet,emergency services personnel,NEUTRAL,Emergency services personnel met the airplane at the gate and the passenger and flight attendant were transported to a local hospital.,the airplane at the gate,passenger and flight attendant transported to local hospital,arrival
1,102,be released,passenger,NEUTRAL,The passenger was released with minor injuries,from hospital,with minor injuries,post-landing
1,102,be diagnosed,flight attendant,NEGATIVE,but the flight attendant was diagnosed with a fractured vertebrae.,with a fractured vertebrae,serious injury confirmed,post-landing
1,103,leveled off,flightcrew,NEUTRAL,"after leveling off at 14,000 feet mean sea level (msl), both conferred and it was decided to let the flight attendant begin beverage service.",aircraft,"aircraft stabilized at 14,000 feet msl",en route
1,103,decided,flightcrew,NEUTRAL,"after leveling off at 14,000 feet mean sea level (msl), both conferred and it was decided to let the flight attendant begin beverage service.",beverage service initiation,flight attendant authorized to begin beverage service,en route
1,103,noticed,flightcrew,NEUTRAL,shortly afterwards they noticed a layer of clouds 10 miles ahead,layer of clouds,cloud layer observed 10 miles ahead,en route
1,103,requested,flightcrew,NEUTRAL,"they asked the air traffic controller if they could climb to 17,000 feet msl. The controller was unable due to another aircraft at 15,000 feet msl",altitude change,"request to climb to 17,000 feet msl denied",en route
1,103,asked,captain,NEUTRAL,the captain asked the flight attendant (F/A) if she had the beverage cart out and she replied she did.,flight attendant,confirmation that beverage cart was deployed,en route
1,103,informed,captain,NEUTRAL,The captain informed her to suspend beverage service due to potential incoming turbulence and to be seated.,flight attendant,instruction to suspend beverage service and be seated,en route
1,103,entered,aircraft,NEUTRAL,The airplane entered a cloud layer,cloud layer,aircraft penetrated cloud layer,en route
1,103,performed,flightcrew,NEUTRAL,"the flighcrew was advised to turn right 80 degrees towards a navigation fix, which was performed with the autopilot engaged.",turn,80-degree right turn initiated toward navigation fix with autopilot engaged,en route
1,103,noticed,first officer,NEUTRAL,"the first officer (F/O) noticed a ""small cell showing on the radar directly on aircraft path""",weather radar display,small cell detected directly on aircraft path,en route
1,104,encountered,Boeing 717-200,NEGATIVE,"a Boeing 717-200, N994AT, operated by Airtran Airways as flight 163, encountered convective turbulence while climbing through flight level 250 near Inverness, Florida.",convective turbulence,one flight attendant sustained serious injuries,climb
1,104,assigned,flight crew,NEUTRAL,"after departure, the airplane was assigned a heading of 350 degrees, and was cleared to climb to its cruise altitude.",heading of 350 degrees,airplane turned to assigned heading,climb
1,104,cleared,air traffic control,NEUTRAL,"after departure, the airplane was assigned a heading of 350 degrees, and was cleared to climb to its cruise altitude.",airplane to climb to cruise altitude,airplane climbed toward cruise altitude,climb
1,104,illuminated,flight crew,NEUTRAL,The seat belt sign was illuminated.,seat belt sign,seat belt sign was on,climb
1,104,began,flight attendants,NEUTRAL,"After the airplane passed through 10,000 feet, the flight attendants began their cabin service.",cabin service,cabin service commenced,climb
1,104,encountered,airplane,NEGATIVE,"As the airplane passed through flight level 250, still in IMC, it encountered turbulence for approximately 15 seconds.",turbulence,turbulence lasted approximately 15 seconds,climb
1,104,checked,non-flying pilot,NEUTRAL,"The non-flying pilot checked the airborne radar, and changed the range settings to see if the airplane had ""hit a cell."" He saw ""nothing"" on the radar.",airborne radar,observed nothing on radar,climb
1,104,changed,non-flying pilot,NEUTRAL,"The non-flying pilot checked the airborne radar, and changed the range settings to see if the airplane had ""hit a cell.""",radar range settings,radar display updated,climb
1,104,came off,lead flight attendant,NEGATIVE,"At the time of the turbulence encounter, the lead attendant was in the galley, and he ""came off the floor about a foot.""",floor,rose about a foot off the floor,climb
2,104,was employed,flight attendant,NEUTRAL,flight attendant was employed by the operator as a flight attendant for nearly 5 years.,by the operator as a flight attendant,for nearly 5 years,pre-flight
2,104,was employed,L2 flight attendant,NEUTRAL,The L2 (injured) flight attendant was employed by the operator as a flight attendant for 2 1/2 years.,by the operator as a flight attendant,for 2 1/2 years,pre-flight
2,104,had length of employment,R1 flight attendant,NEUTRAL,The R1 flight attendant's length of employment with the operator was not determined.,with the operator,not determined,pre-flight
2,104,was manufactured,airplane,NEUTRAL,"The airplane was a variant of the Douglas Aircraft DC-9, and was manufactured in 2002.",as a variant of the Douglas Aircraft DC-9,in 2002,pre-flight
2,104,was powered,airplane,NEUTRAL,"It was powered by two Rolls-Royce BR 715 series turbofan engines, and at the time of the turbulence encounter, the airplane gross weight was approximately 99,000 pounds.",by two Rolls-Royce BR 715 series turbofan engines,at time of turbulence encounter,en route
2,104,had gross weight,airplane,NEUTRAL,"It was powered by two Rolls-Royce BR 715 series turbofan engines, and at the time of the turbulence encounter, the airplane gross weight was approximately 99,000 pounds.","of approximately 99,000 pounds",at time of turbulence encounter,en route
2,104,configured,operator,NEUTRAL,"According to the operator, the airplane was configured for 2 flight crew, 4 cabin crew, and 117 passengers.",the airplane,"for 2 flight crew, 4 cabin crew, and 117 passengers",pre-flight
2,104,issued,National Weather Service,NEUTRAL,The National Weather Service (NWS) data issued at 0800 depicted conditions which supported widespread upward vertical motion over the region of the flight track.,data at 0800,depicted conditions supporting widespread upward vertical motion over the region of the flight track,pre-flight
1,105,sustained substantial damage,"Bombardier DHC-8-200, N367PH",NEGATIVE,"a Bombardier DHC-8-200, N367PH, fuselage tail section was substantially damaged.",fuselage tail section,"damage to skin, rivets, and center former of aft pressure bulkhead",unknown operational phase
1,105,found damage,maintenance personnel,NEUTRAL,"The damage was found during a maintenance C-check inspection on August 29, 2009.",fuselage tail section,"discovery of bowing, bending, rivet damage, and skin puncture",maintenance inspection
1,105,occurred,damage,NEGATIVE,The damage was consistent with tail strike damage during operation of the airplane and had resulted in a puncture of the pressure vessel of the airplane.,aft pressure bulkhead between stations 545.00 and 600.00,puncture of the pressure vessel,unknown operational phase
1,105,noticed,maintenance personnel,NEUTRAL,They noticed bowing and bending in the support structure and damage to nearby rivets.,bowing and bending in support structure and damage to nearby rivets,initiation of further inspection,maintenance inspection
1,105,performed exterior inspection,maintenance personnel,NEUTRAL,Further inspection of the exterior of the airplane revealed the skin damage.,airplane,revealed skin damage,maintenance inspection
1,105,required,airline's maintenance line check form,NEUTRAL,"maintenance personnel were required to ""Perform exterior walk around inspection of aircraft for, but not limited to; leaks, obvious impact damage/foreign object damage, structural irregularities… (5) Underside of fuselage paying particular attention to drain holes, antennas and tail skid (bumper).""",exterior walkaround inspection,"inspection for impact damage, structural irregularities, and attention to underside of fuselage including tail skid",maintenance inspection
1,105,stated requirement,operator's DHC-8-200 Series Service Check form,NEUTRAL,"""Exterior Walkaround Inspection. Perform an exterior walk around inspection of the aircraft for any of the following conditions which can be viewed from the ground…B. Obvious impact damage, C. Foreign Object Damage (FOD). D. Structural irregularities…F. Loose or damaged panels, latches, and fasteners.""",exterior walkaround inspection,"inspection for obvious impact damage, FOD, structural irregularities, and loose or damaged panels",maintenance inspection
2,105,accumulated,airframe,NEUTRAL,"e records the airframe had accumulated 23,846.5 total hours of time in service and 33,868 total airframe cycles at the time of the maintenance inspection.","23,846.5 total hours of time in service and 33,868 total airframe cycles",reached specified usage at time of maintenance inspection,maintenance
2,105,underwent,airplane,NEUTRAL,"The three most recent ""L"" inspections that the airplane had undergone were complied with on August 7, 2009, August 14, 2009, and August 21, 2009.","three most recent ""L"" inspections","inspections complied with on August 7, 2009, August 14, 2009, and August 21, 2009",maintenance
2,105,performed,airline,NEUTRAL,"Service checks were performed on the airplane each day the airplane was operated in revenue service including the days of the ""L"" inspections.",service checks,"checks conducted each day the airplane was operated in revenue service including days of ""L"" inspections",operations
2,105,flew,flight crewmembers,NEUTRAL,The airline had interviewed four sets of flight crewmembers that flew the airplane two days prior to its maintenance inspection,the airplane,operated the airplane two days prior to its maintenance inspection,operations
2,105,reported,flight crewmembers,NEUTRAL,none of the crewmembers reported to airline personnel any tail strike events.,tail strike events,no tail strike events reported to airline personnel,post-flight
2,105,reported,ground support personnel,NEUTRAL,Nor had there been any reported towing events reported to the airline from ground support personnel.,towing events,no towing events reported to the airline,ground operations
2,105,sent,flight data recorder,NEUTRAL,The flight data recorder was sent to the NTSB Vehicle Recorders Laboratory and downloaded.,to the NTSB Vehicle Recorders Laboratory,successfully delivered for analysis,investigation
2,105,downloaded,NTSB Vehicle Recorders Laboratory,NEUTRAL,The flight data recorder was sent to the NTSB Vehicle Recorders Laboratory and downloaded.,flight data recorder,download consisted of 23 flights,investigation
1,106,experienced,JetBlue Airways Embraer ERJ-190 airplane,NEGATIVE,"On September 3, 2009, a JetBlue Airways Embraer ERJ-190 airplane, N258JB, powered by two General Electric (GE) CF34-10E6 turbofan engines, experienced an engine fire after landing at the Nassau International Airport, Nassau, Bahamas (NAS). According to flight crew and digital flight data recorder information, a No. 1 engine fire master warning occurred during the landing rollout.",an engine fire,fire warning activated during landing rollout,landing rollout
1,106,completed,flight crew,NEUTRAL,"The flight crew completed the engine shutdown, pulled the fire handle, and discharged one fire bottle.",engine shutdown,engine shut down,post-landing
1,106,pulled,flight crew,NEUTRAL,"The flight crew completed the engine shutdown, pulled the fire handle, and discharged one fire bottle.",fire handle,fire suppression system activated,post-landing
1,106,discharged,flight crew,POSITIVE,"The flight crew completed the engine shutdown, pulled the fire handle, and discharged one fire bottle. The fire warning light extinguished two minutes and two seconds after the warning.",one fire bottle,fire warning light extinguished after two minutes and two seconds,post-landing
1,106,was taxied,aircraft,NEUTRAL,The aircraft was taxied off the active runway and all 84 passengers were evacuated using the cabin door emergency slides on the right side of the aircraft.,off the active runway,aircraft removed from runway,post-landing
1,106,were evacuated,passengers,NEUTRAL,The aircraft was taxied off the active runway and all 84 passengers were evacuated using the cabin door emergency slides on the right side of the aircraft.,using the cabin door emergency slides on the right side of the aircraft,all 84 passengers evacuated,post-landing
1,106,resulted in,evacuation,NEGATIVE,Eight minor injuries were reported.,eight minor injuries,injuries reported,post-landing
1,106,found,inspection team,NEUTRAL,An inspection of the airplane at NAS found evidence of a No. 1 engine under cowl fire.,evidence of a No. 1 engine under cowl fire,fire origin identified,investigation
2,106,took,investigators,NEUTRAL,A scaled measurement of the outboard gap was taken; this measurement was approximately 0.015 inch.,scaled measurement of the outboard gap,measurement was approximately 0.015 inch,post-accident inspection
2,106,observed,investigators,NEGATIVE,A gap was also evident between the B-nut and top of the ferrule.,gap between the B-nut and top of the ferrule,gap was evident,post-accident inspection
2,106,showed,X-rays,NEGATIVE,The X-rays showed one-thread engagement on the outboard side of the B-nut.,thread engagement on the outboard side of the B-nut,one-thread engagement was present,post-accident inspection
2,106,was,HPTACC rod tube retaining clamp,NEUTRAL,The HPTACC rod tube retaining clamp was tight and in the specified location on the tube (5.5 inches from the HPTACC valve coupling).,tight and in the specified location,clamp position confirmed at 5.5 inches from the HPTACC valve coupling,post-accident inspection
2,106,measured,investigators,NEUTRAL,Breakaway torque measured in the tightening direction was 493 lb-ft.,breakaway torque in the tightening direction,torque measured 493 lb-ft,post-accident inspection
2,106,applied,investigators,NEUTRAL,An estimated 314 lb-in of torque was applied in the loosening direction to break the B-nut free.,torque in the loosening direction,314 lb-in applied to break the B-nut free,post-accident inspection
2,106,required,B-nut,NEUTRAL,Less than a one-quarter turn was required to fully disengage the B-nut from the fitting.,rotation to fully disengage,less than a one-quarter turn was needed,post-accident inspection
2,106,found,investigators,NEGATIVE,"When the B-nut was moved away from the ferrule, a small amount of debris and a piece of material consistent in appearance and dimension with the secondary seal O-ring was found on the fitting, above the threads.",debris and piece of material consistent with secondary seal O-ring,material located on the fitting above the threads,post-accident inspection
3,106,failed to specify installation of HPTACC tubes on fittings before tightening clamps,procedures,NEGATIVE,ure to install the HPTACC tubes on the fittings before tightening the HPTACC tube clamps.,HPTACC tube installation process,potential for improper installation,maintenance
3,106,added caution notes,production build procedure,POSITIVE,"caution notes have been added to the production build procedure to ensure fuel tube B-nuts are fully seated, with no more than two full threads exposed, prior to final torque.",fuel tube B-nuts installation,requirement that B-nuts be fully seated with no more than two full threads exposed prior to final torque,maintenance
3,106,omitted installation instructions,CF34-10E engine manual (EM),NEGATIVE,the CF34-10E engine manual (EM) does not call out the installation of the O-rings during installation of the HPTACC valve.,O-rings during HPTACC valve installation,incomplete installation guidance,documentation
3,106,issued correction,Incremental Changes to the CF34-10E EM,POSITIVE,"Incremental Changes to the CF34-10E EM were issued on October 15 2009 to correct this omission,",omission of O-ring installation instructions,correction of documentation error,documentation
3,106,carried over to EM,production assembly procedures,POSITIVE,"the production assembly procedures were carried over to the EM, to ensure that the fuel tube fittings are correctly engaged and fully seated before applying torque to the B-nuts, and that a maximum of two full threads can remain exposed after final torque is applied.",procedures for fuel tube fittings engagement and torque application,ensured correct engagement and seating of fuel tube fittings before torque application,documentation
1,107,experienced a failure,Southwest Airlines Flight 341,NEGATIVE,"On September 8, 2009, approximately 1154 Pacific Daylight Time (PDT), Southwest Airlines (SWA) Flight 341, a Boeing 737-3G7, N670SW, experienced a failure of the inboard axle on the right main landing gear (RMLG) during landing on runway 24R at Los Angeles International Airport (LAX).",inboard axle on the right main landing gear (RMLG),RMLG inboard wheel and brake assembly separated from the aircraft,landing rollout
1,107,felt,captain,NEGATIVE,"According to the captain, he felt the aircraft swerve during the landing rollout and stopped the airplane on the taxiway.",the aircraft swerve,stopped the airplane on the taxiway,landing rollout
1,107,observed,deadheading SWA pilot,NEUTRAL,A flight attendant called the cockpit and reported that a deadheading SWA pilot reported that he observed a tire depart the airplane.,a tire depart the airplane,reported observation to flight attendant,landing rollout
1,107,separated,RMLG inboard wheel and brake assembly,NEGATIVE,"The RMLG inboard wheel and brake assembly separated from the aircraft and was recovered on the north side of the runway near the 4,000 feet remaining marker.",from the aircraft,"was recovered on the north side of the runway near the 4,000 feet remaining marker",landing rollout
1,107,was taxied,airplane,NEUTRAL,The airplane was taxied off the runway to taxiway Y where the passengers were deplaned by airstairs onto waiting buses.,off the runway to taxiway Y,passengers were deplaned by airstairs onto waiting buses,post-landing
1,107,exhibited a fracture,RMLG Inner Cylinder Assembly,NEGATIVE,The inboard axle exhibited a fracture that emanated from the bolt hole at the 12:00 position in the brake mounting flange.,inboard axle,fracture emanated from the bolt hole at the 12:00 position in the brake mounting flange,post-incident examination
1,107,propagated,fracture,NEGATIVE,The fracture exhibited surface features consistent with fatigue propagation for approximately 3.5 inches.,via fatigue,approximately 3.5 inches of fatigue propagation,post-incident examination
2,107,gathered,SWA,NEUTRAL,"At the request of the NTSB, SWA gathered data on the in-service brake mounting bolt breakaway torque on 13 brake assemblies that required brake replacement due to wear.",data on the in-service brake mounting bolt breakaway torque on 13 brake assemblies,data collected for analysis,maintenance
2,107,measured,investigators,NEUTRAL,The breakaway torque on the RMLG outboard brake from the incident airplane was also measured.,breakaway torque on the RMLG outboard brake from the incident airplane,torque value recorded,post-incident investigation
2,107,installed,brake mounting bolts,NEUTRAL,"The brake mounting bolts are to be installed with a final torque of 125-135 foot-pounds per the Aircraft Maintenance Manual, chapter 32-41-41.",with a final torque of 125-135 foot-pounds,required installation specification,maintenance
2,107,exhibited,in-service mounting bolts,NEGATIVE,The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.,torque values averaging 104 foot-pounds,average torque below specification,maintenance
2,107,exhibited,in-service mounting bolts,NEGATIVE,The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.,minimum torque value of 35 foot-pounds,torque significantly below specification,maintenance
2,107,exhibited,in-service mounting bolts,NEGATIVE,The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.,maximum torque value of 175 foot-pounds,torque above specification,maintenance
2,107,had,brakes,NEUTRAL,Eight of the 14 brakes measured had average torque values greater than 100 foot-pounds but only 3 brakes had average torque values greater than 125 foot-pounds.,average torque values greater than 100 foot-pounds,8 of 14 brakes met this condition,maintenance
1,108,flickered,cabin lights,NEGATIVE,the cabin lights flickered,,disruption in cabin lighting,enroute
1,108,became intermittent and then inoperative,Passenger Address System,NEGATIVE,the Passenger Address System was intermittent and then inop,,loss of PA system functionality,enroute
1,108,deployed,left side oxygen masks,NEGATIVE,the left side oxygen masks deployed,,oxygen masks activated prematurely,enroute
1,108,observed,crew or passengers,NEGATIVE,"a sulphur smell was observed, but no smoke",sulphur smell,detection of unusual odor,enroute
1,108,diverted,flight 186,NEUTRAL,The flight diverted to ATL,to ATL,change of destination airport,enroute
1,108,landed,flight 186,POSITIVE,landed without incident,at ATL,safe landing without incident,approach/landing
1,108,examined,DAL maintenance crews,NEUTRAL,DAL maintenance crews examined the area above the forward lavatory on the left side,area above the forward lavatory on the left side,discovery of damaged wire bundle,post-flight inspection
1,108,had,wire bundle,NEGATIVE,found a wire bundle which had numerous fractured and melted wires,numerous fractured and melted wires,electrical system damage,post-flight inspection
1,108,had,wire bundle and immediate area,NEGATIVE,with soot on the bundle and immediate area,soot,evidence of overheating or arcing,post-flight inspection
1,108,showed,support structure near the cable routing,NEGATIVE,There were also signs of chaffing on a piece of support structure near the cable routing,signs of chafing,physical wear on structure,post-flight inspection
1,108,revealed,Boeing wire installation drawings,NEGATIVE,A review of the Boeing wire installation drawings revealed that the damaged wire bundle was routed incorrectly and not properly secured,incorrect routing and improper securing of wire bundle,identification of installation error,investigation
1,109,experienced,Boeing 767-400,NEGATIVE,"On September 17, 2009, a Boeing 767-400 experienced a fracture of the left main landing gear (MLG) truck beam while the aircraft was stopped on a taxiway D with parking brake set prior to takeoff at Newark Liberty International Airport (EWR).",fracture of the left main landing gear (MLG) truck beam,airplane sustained minor damage,taxi
1,109,examined,NTSB Materials Laboratory,NEUTRAL,The truck beam assembly was examined by the NTSB Materials Laboratory. The assembly had two circumferential fractures that fractured the assembly into three pieces.,truck beam assembly,identified two circumferential fractures,post-accident investigation
1,109,revealed,fracture surface aft of the pivot bushing,NEGATIVE,Examination of the fracture surface aft of the pivot bushing revealed intergranular stress corrosion cracking (SCC) emanating from a corrosion pit on the lower inside diameter of the truck beam.,intergranular stress corrosion cracking (SCC),corrosion initiated from a corrosion pit,post-accident investigation
1,109,was consistent with,fracture forward of the pivot bushing,NEGATIVE,The fracture forward of the pivot bushing was consistent with overstress.,overstress,secondary fracture occurred,post-accident investigation
1,109,was missing,primer,NEGATIVE,Primer was missing on the truck beam inner surface along the bottom and up the sides aft of the pivot bushing and along the top forward of the pivot bushing exposing bare metal.,on the truck beam inner surface,bare metal exposed,pre-accident condition
1,109,was peeling or blistering,primer,NEGATIVE,In adjacent regions the primer was peeling or blistering.,in adjacent regions,protective coating compromised,pre-accident condition
1,109,was plugged,aft drain hole,NEGATIVE,The aft drain hole was plugged by an unidentified substance.,by an unidentified substance,drainage impaired,pre-accident condition
1,109,performed,Boeing Research and Technology (BR&T),NEUTRAL,"Adhesion tests of the primer on the inner truck beam surface were performed with and without scribing the coating. Without scribing, little to no primer was removed. Examination of the coating backside indicated delamination occurred between the cadmium plate and the steel substrate.",adhesion tests of the primer,delamination observed between cadmium plate and steel substrate,post-accident investigation
2,109,exposed,hydraulic fluid and deicing fluid,NEGATIVE,The long term exposure to hydraulic fluid and deicing fluid led to delamination of the CIC and primer from the interior surface leading to corrosion of the cadmium plating.,interior surface of the truck beam,delamination of the CIC and primer,long-term exposure
2,109,plugged,delamination and corrosion products,NEGATIVE,Liberated corrosion and delamination products plugged the aft drain hole trapping more water inside the truck beam that lead to pitting corrosion on the lower inside diameter of the truck beam aft of the pivot bushing.,aft drain hole,trapped water inside the truck beam,post-corrosion
2,109,caused,water,NEGATIVE,trapping more water inside the truck beam that lead to pitting corrosion on the lower inside diameter of the truck beam aft of the pivot bushing.,pitting corrosion,localized material degradation on lower inside diameter of truck beam,corrosion progression
2,109,led to,tensile stress and water,NEGATIVE,The tensile stress and the presence of water led to intergranular SCC.,intergranular SCC,crack initiation and growth,crack propagation
2,109,grew to,crack,NEGATIVE,"Once the crack grew to a critical size, a circumferential fracture occurred and separated the aft portion of the truck beam.",critical size,circumferential fracture,final failure
